period,target,model,log_loss,brier_score,balanced_accuracy,roc_auc,accuracy,samples
formation_dev,primary,model0_majority_baseline,0.705124211498666,0.2559856163311169,0.5,0.5,0.35,20
formation_dev,primary,model1_market_only,0.6839339288804112,0.24579002457803098,0.6153846153846154,0.6923076923076924,0.5,20
formation_dev,primary,model2_text_only,0.7264033472747919,0.2664987989784172,0.6153846153846154,0.3736263736263737,0.5,20
formation_dev,primary,model3_market_text_combined,0.7042337784060825,0.25578784820634876,0.6153846153846154,0.6043956043956045,0.5,20
formation_dev,secondary,model0_majority_baseline,0.6905287990970572,0.2486908879928907,0.5,0.5,0.6,20
formation_dev,secondary,model1_market_only,0.6782526352725617,0.24267473134599754,0.4583333333333333,0.48958333333333337,0.55,20
formation_dev,secondary,model2_text_only,0.7103416820164982,0.2584942114262344,0.4166666666666667,0.35416666666666663,0.45,20
formation_dev,secondary,model3_market_text_combined,0.6938417312666738,0.25052041144543485,0.4166666666666667,0.40625,0.45,20
validation,primary,model0_majority_baseline,0.6924281814530773,0.24964058393155716,0.5,0.5,0.5190476190476191,210
validation,primary,model1_market_only,0.694838538719783,0.2508442712998938,0.5173040239803797,0.507948042510673,0.5238095238095238,210
validation,primary,model2_text_only,0.6964131238580191,0.2516313751253245,0.48673812335361977,0.47856299391407026,0.5,210
validation,primary,model3_market_text_combined,0.6988917619649918,0.25282159874294274,0.4964120265237533,0.49059860114451814,0.5047619047619047,210
validation,secondary,model0_majority_baseline,0.6925003190625053,0.24967659526573927,0.5,0.5,0.5238095238095238,210
validation,secondary,model1_market_only,0.6951570918568446,0.25103875662115815,0.4722727272727273,0.48190909090909095,0.48095238095238096,210
validation,secondary,model2_text_only,0.6961090333743692,0.2514684147896927,0.4904545454545455,0.4852272727272728,0.5,210
validation,secondary,model3_market_text_combined,0.6991595241588685,0.2530466631183661,0.46272727272727276,0.4696363636363637,0.4714285714285714,210
historical_evaluation,primary,model0_majority_baseline,0.6911031424653968,0.24897833215153695,0.5,0.5,0.5380710659898477,197
historical_evaluation,primary,model1_market_only,0.6910789538114233,0.2489593906824027,0.5029545925772341,0.5104706614140576,0.5228426395939086,197
historical_evaluation,primary,model2_text_only,0.6943506741824236,0.2505932732790892,0.4881297947335683,0.43764254613311215,0.5177664974619289,197
historical_evaluation,primary,model3_market_text_combined,0.6951691553375821,0.2509712080702093,0.47548206510470664,0.46734397677793904,0.49746192893401014,197
historical_evaluation,secondary,model0_majority_baseline,0.6926514192669567,0.24975214388504624,0.5,0.5,0.5177664974619289,197
historical_evaluation,secondary,model1_market_only,0.6833713862818113,0.24514867271893112,0.5413312693498452,0.573374613003096,0.5482233502538071,197
historical_evaluation,secondary,model2_text_only,0.695996144657642,0.2514137113890632,0.5206398348813209,0.4913312693498452,0.5279187817258884,197
historical_evaluation,secondary,model3_market_text_combined,0.6865018900780901,0.2466902193582848,0.5567595459236326,0.5619195046439629,0.5634517766497462,197
