period,target,model1_log_loss,model3_log_loss,delta_log_loss_model3_minus_model1,ci_low_95,ci_high_95,ci_n_resamples,delta_balanced_accuracy,n_eval_rows,n_train_rows,n_unique_issuers_eval,c_source,historical_evaluation_label,evaluation_block_label
formation_dev,primary,0.6839339288804112,0.7042337784060825,0.02029984952567132,0.005458641992948659,0.035452512083220186,500,0.0,20,1864,8,null,null,DEVELOPMENT INTERNAL OOS TEST
formation_dev,secondary,0.6782526352725617,0.6938417312666738,0.015589095994112068,0.010662133648233282,0.05154455663329998,500,-0.04166666666666663,20,1845,8,null,null,DEVELOPMENT INTERNAL OOS TEST
validation,primary,0.694838538719783,0.6988917619649918,0.004053223245208848,-0.0027979832593729784,0.011627244274459726,500,-0.020891997456626343,210,1889,12,null,null,EVALUATION PERIOD OUT-OF-SAMPLE
validation,secondary,0.6951570918568446,0.6991595241588685,0.004002432302023906,-0.0030585421764491353,0.010367181061573492,500,-0.009545454545454524,210,1889,12,null,null,EVALUATION PERIOD OUT-OF-SAMPLE
historical_evaluation,primary,0.6910789538114233,0.6951691553375821,0.004090201526158799,-0.004850583318328377,0.01080005306668726,500,-0.02747252747252743,197,2099,12,frozen_config_final_selected_c,PREVIOUSLY INSPECTED / HISTORICAL EVALUATION,EVALUATION PERIOD OUT-OF-SAMPLE
historical_evaluation,secondary,0.6833713862818113,0.6865018900780901,0.003130503796278883,-0.004716566468150278,0.011843341749867446,500,0.015428276573787425,197,2098,12,frozen_config_final_selected_c,PREVIOUSLY INSPECTED / HISTORICAL EVALUATION,EVALUATION PERIOD OUT-OF-SAMPLE
